id;def;matk;atk;sta;c_res;price;shoes;pants;gloves;armor;helm;
0;8454;0;2428;10;83;148,30; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
1;8579;0;2422;15;83;131,70; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
2;8580;0;2422;15;82;131,70; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
3;8554;0;2422;15;83;131,70; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
4;8342;0;2413;5;83;150,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Sentinel]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
5;8342;0;2413;5;83;150,90; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
6;8532;0;2413;10;84;134,30; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
7;8506;0;2413;10;85;134,30; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
8;8507;0;2413;10;84;134,30; [+10 Noblesse Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
9;8467;0;2407;10;83;134,30; [+10 Heremon Boots 2*, Tutelary Sentinel]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
10;8468;0;2407;10;82;134,30; [+10 Heremon Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
11;8442;0;2407;10;83;134,30; [+10 Heremon Boots 2*, Tutelary Sentinel]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
12;8467;0;2407;10;83;134,30; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Sentinel]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
13;8468;0;2407;10;82;134,30; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Sentinel]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
14;8442;0;2407;10;83;134,30; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Sentinel]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
15;8467;0;2407;10;83;134,30; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Heremon Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
16;8468;0;2407;10;82;134,30; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Heremon Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
17;8442;0;2407;10;83;134,30; [+10 Heremon Boots 2*, Tutelary Armadillo]; [+10 Noblesse Pants 2*, Tutelary Armadillo]; [+10 Noblesse Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
