id;def;matk;atk;sta;c_res;price;shoes;pants;gloves;armor;helm;
0;9056;54;2164;20;80;182,10; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
1;9049;70;2076;15;75;210,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
2;9042;54;2093;15;82;170,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
3;8988;60;2158;10;73;213,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Armageddon Gloves 2*, Tutelary Sentinel]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
4;8944;54;2149;15;80;184,70; [+10 Pirate Shoes 2*, Tutelary Sentinel]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
5;8944;54;2149;15;80;184,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Sentinel]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
6;8944;54;2149;15;80;184,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Sentinel]; [+10 Noblesse Armor 2*, Tutelary Armadillo]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
7;8944;54;2149;15;80;184,70; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Noblesse Armor 2*, Tutelary Sentinel]; [+10 Noblesse Helmet 2*, Tutelary Sentinel];
8;8937;70;2061;10;75;213,30; [+10 Pirate Shoes 2*, Tutelary Sentinel]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
9;8937;70;2061;10;75;213,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Sentinel]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
10;8937;70;2061;10;75;213,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Sentinel]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
11;8933;60;2166;10;73;213,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Armageddon Pants 2*, Tutelary Sentinel]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Armageddon Armor 2*, Tutelary Sentinel]; [+10 Armageddon Helm 2*, Tutelary Sentinel];
12;8930;54;2078;10;82;173,30; [+10 Pirate Shoes 2*, Tutelary Sentinel]; [+10 Pirate Pants 2*, Tutelary Armadillo]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
13;8930;54;2078;10;82;173,30; [+10 Pirate Shoes 2*, Tutelary Armadillo]; [+10 Pirate Pants 2*, Tutelary Sentinel]; [+10 Pirate Gloves 2*, Tutelary Armadillo]; [+10 Heremon Armor 2*, Tutelary Sentinel]; [+10 Heremon Helmet 2*, Tutelary Sentinel];
